Test Case,Method,AUROC,FPR@95TPR,AUPR-OOD
OOD Puro,MSP,0.4167030631844117,0.945703051862947,0.049586318118622616
OOD Misto,MSP,0.2756832681238223,0.9817449915746115,0.0564214843569023
OOD Puro,Entropy,0.6490683245273389,0.8320851276290333,0.09485354775608712
OOD Misto,Entropy,0.763650327180097,0.5394745053984896,0.18566836952708834
OOD Puro,Energy,0.6077147617847202,0.8335205641889784,0.07727985179335572
OOD Misto,Energy,0.74566270606338,0.5390376334019846,0.16978386847604857
OOD Puro,Consistency,0.5857099662057124,0.8500592897709542,0.07179478368170913
OOD Misto,Consistency,0.7197356653333999,0.5796355239343444,0.14977551083784668
OOD Puro,Mahalanobis,0.6055251606467482,0.8662235536416402,0.08586802620264124
OOD Misto,Mahalanobis,0.691907957319397,0.7587842476440118,0.15825494751621355
OOD Puro,Energy_Champion,0.6077147617847203,0.8335205641889784,0.07727985179335572
OOD Misto,Energy_Champion,0.7456627060633803,0.5390376334019846,0.16978386847604857
